agent_id	 startSearchTime	 parkTime	 searchTime	 distanceToDestination	 parkingLotId
4646#-1060247964441127406	 295	 325	 30	 1.111603e+002	 sp-58_b
4747#-4569129545018545001	 328	 372	 44	 1.767550e+002	 sp-14_b
4848#-6208196166624579395	 302	 335	 33	 5.358076e+001	 sp-62_a
4949#-6420306461251840051	 340	 368	 28	 5.358076e+001	 sp-62_a
5050#8800986407050212300	 317	 401	 84	 5.358076e+001	 sp-38_a
5151#5697623811408775905	 350	 406	 56	 2.080166e+002	 sp-70_b
5252#5843239849800614963	 324	 481	 157	 1.125651e+002	 sp-64_a
5353#6069761778908371917	 357	 388	 31	 5.358076e+001	 sp-38_a
5454#999348692631028709	 316	 323	 7	 1.767550e+002	 sp-14_b
5555#-804966323657862521	 369	 412	 43	 1.143280e+002	 sp-20_a
5656#-4122159765200575343	 346	 501	 155	 1.125651e+002	 sp-44_a
5757#-4260770968927425188	 380	 408	 28	 1.093463e+002	 sp-60_b
5858#-8273594332670458482	 355	 427	 72	 1.143280e+002	 sp-20_a
5959#-7372858950507866567	 392	 474	 82	 1.111603e+002	 sp-64_b
6060#6517182967342715655	 370	 703	 333	 2.470675e+002	 sp-78_a
6161#-1169974885911983592	 396	 470	 74	 1.143280e+002	 sp-36_a
6262#3061378322073152987	 373	 405	 32	 1.093463e+002	 sp-60_b
6363#-4176303898674967817	 405	 523	 118	 2.080166e+002	 sp-70_b
6464#7798720702533809390	 376	 429	 53	 1.125651e+002	 sp-44_a
6565#-7936165588958396220	 418	 491	 73	 1.827161e+002	 sp-24
6666#-8861359143129307396	 378	 412	 34	 1.827161e+002	 sp-24
6767#6473099493805709195	 432	 738	 306	 2.080166e+002	 sp-82_b
6868#35219506414991930	 394	 435	 41	 1.111603e+002	 sp-16_b
6969#-4871809250294802560	 442	 510	 68	 1.778829e+002	 sp-22_b
7070#-2470618445958058801	 401	 544	 143	 1.827161e+002	 sp-24
7171#-7785599159973802654	 431	 520	 89	 1.143280e+002	 sp-60_a
7272#-6177600651832758627	 428	 483	 55	 1.111603e+002	 sp-64_b
7373#6174190290283724317	 455	 573	 118	 1.093463e+002	 sp-60_b
7474#-131490988232655152	 427	 465	 38	 1.111603e+002	 sp-58_b
7575#7220541710838155289	 453	 512	 59	 1.125651e+002	 sp-44_a
7676#-2974158268268123922	 447	 489	 42	 1.143280e+002	 sp-36_a
7777#5726301324027454552	 476	 536	 60	 1.111603e+002	 sp-64_b
7878#-4937981485050612080	 443	 471	 28	 1.143280e+002	 sp-36_a
7979#-6491118945029333448	 493	 827	 334	 1.827161e+002	 sp-68
8080#7646941323335331625	 470	 608	 138	 1.767550e+002	 sp-80
8181#7468670505228193523	 483	 752	 269	 1.838075e+002	 sp-88
8282#3556582843686189550	 478	 1009	 531	 2.486812e+002	 sp-0_b
8383#3589829971803900349	 489	 552	 63	 1.143280e+002	 sp-60_a
8484#-7680702870776524227	 484	 558	 74	 1.778829e+002	 sp-22_b
8585#3926320908781154364	 522	 604	 82	 1.838075e+002	 sp-88
8686#-7268066037539311054	 494	 596	 102	 1.827161e+002	 sp-24
8787#-5978931114985849056	 533	 628	 95	 1.778829e+002	 sp-12_a
8888#2043351896747706293	 505	 678	 173	 1.827161e+002	 sp-68
8989#-1981901537722229216	 539	 610	 71	 1.125651e+002	 sp-58_a
9090#-7596193424705443116	 496	 911	 415	 1.535747e+002	 sp-46
9191#7697808735195481941	 548	 691	 143	 1.767550e+002	 sp-80
9292#9179428668027386580	 525	 653	 128	 1.125651e+002	 sp-58_a
9393#6991737377964053101	 563	 644	 81	 2.060847e+002	 sp-86_b
9494#-365713489521437875	 534	 663	 129	 1.778829e+002	 sp-12_a
9595#-1469375312698613504	 567	 768	 201	 1.535747e+002	 sp-84
9696#-3248040388232162198	 533	 589	 56	 1.143280e+002	 sp-60_a
9797#3284360270291100575	 567	 861	 294	 1.535747e+002	 sp-84
9898#-9204264813165127766	 559	 627	 68	 1.125651e+002	 sp-58_a
9999#7438164244255532619	 593	 632	 39	 1.767550e+002	 sp-14_b
